epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,11553.4,1.33817,0.99265,0.98882,0.563,0.44838,0.45114,0.27144,1.31217,0.97939,0.99468,0.001024,0.001024,0.001024
138,11637.3,1.3434,0.9941,0.98718,0.5631,0.44839,0.45118,0.27172,1.31156,0.979,0.99445,0.000958,0.000958,0.000958
139,11721.3,1.33843,0.9891,0.98586,0.56399,0.44899,0.45137,0.27181,1.31126,0.97838,0.99434,0.000892,0.000892,0.000892
140,11805.4,1.33763,0.98804,0.98233,0.56455,0.44985,0.45172,0.27193,1.31153,0.97822,0.99439,0.000826,0.000826,0.000826
141,11885.8,1.32806,0.98157,0.99689,0.56459,0.45177,0.45177,0.27195,1.31147,0.97757,0.99441,0.00076,0.00076,0.00076
142,11963.8,1.31564,0.96335,0.99135,0.56432,0.4517,0.45262,0.27234,1.31131,0.97721,0.99429,0.000694,0.000694,0.000694
143,12041.6,1.30955,0.95676,0.99044,0.56557,0.45191,0.45245,0.27248,1.3115,0.97696,0.99432,0.000628,0.000628,0.000628
144,12119.9,1.31166,0.95611,0.9913,0.56628,0.45126,0.45257,0.27274,1.31105,0.97618,0.99416,0.000562,0.000562,0.000562
145,12198,1.30451,0.95162,0.9909,0.56627,0.4528,0.45342,0.27297,1.31101,0.97536,0.99411,0.000496,0.000496,0.000496
146,12276.1,1.30157,0.9447,0.98865,0.56589,0.4528,0.4535,0.27297,1.31073,0.97503,0.99408,0.00043,0.00043,0.00043
147,12354,1.29937,0.94249,0.98631,0.56264,0.45395,0.45335,0.27307,1.31053,0.97438,0.99395,0.000364,0.000364,0.000364
148,12431.8,1.29554,0.93563,0.98526,0.5621,0.45442,0.45382,0.27332,1.31036,0.97422,0.99386,0.000298,0.000298,0.000298
149,12509.8,1.2934,0.93393,0.9849,0.56201,0.4543,0.45333,0.27314,1.31003,0.97354,0.99381,0.000232,0.000232,0.000232
150,12587.9,1.2908,0.93015,0.98463,0.56137,0.45426,0.45329,0.27299,1.30997,0.97319,0.99369,0.000166,0.000166,0.000166
