epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,100.959,1.21213,0.68914,1.0081,0.98327,0.85203,0.90828,0.55375,1.37106,0.64361,1.03749,0.0001784,0.0001784,0.0001784
140,101.635,1.38744,0.78596,1.06097,0.98329,0.85258,0.90859,0.55655,1.35636,0.64158,1.03169,0.0001652,0.0001652,0.0001652
141,103.621,1.23432,0.61635,1.0009,0.98329,0.85258,0.90859,0.55655,1.35636,0.64158,1.03169,0.000152,0.000152,0.000152
142,104.66,1.05812,0.61593,1.02614,0.98181,0.85145,0.91071,0.55818,1.34621,0.64155,1.0279,0.0001388,0.0001388,0.0001388
143,105.468,1.25497,0.92577,1.12625,0.98181,0.85145,0.91071,0.55818,1.34621,0.64155,1.0279,0.0001256,0.0001256,0.0001256
144,106.114,1.07961,0.59291,1.02177,0.98209,0.85145,0.9105,0.56207,1.34165,0.64019,1.02599,0.0001124,0.0001124,0.0001124
145,106.98,1.11007,0.65182,1.02708,0.98209,0.85145,0.9105,0.56207,1.34165,0.64019,1.02599,9.92e-05,9.92e-05,9.92e-05
146,107.676,1.21913,0.59047,0.99386,0.98053,0.85145,0.91055,0.56373,1.33651,0.63785,1.02363,8.6e-05,8.6e-05,8.6e-05
147,108.33,1.04259,0.61066,0.97503,0.98053,0.85145,0.91055,0.56373,1.33651,0.63785,1.02363,7.28e-05,7.28e-05,7.28e-05
148,108.988,1.08246,0.63057,1.01122,0.98072,0.85145,0.91079,0.56468,1.3346,0.63676,1.02366,5.96e-05,5.96e-05,5.96e-05
149,109.665,1.20722,0.59964,0.96439,0.98072,0.85145,0.91079,0.56468,1.3346,0.63676,1.02366,4.64e-05,4.64e-05,4.64e-05
150,110.384,1.34256,0.75654,0.94915,0.97917,0.85146,0.91084,0.56617,1.33402,0.63689,1.02426,3.32e-05,3.32e-05,3.32e-05
